china_silk_road_favored_status;Request Trade Contract;Demander un contrat commercial;Handelsvertrag anfordern;;Solicitar contrato comercial;;;;;;;;;x;;;;
EVTDESC_JD_50031_CW;[FromFrom.GetFreeholdPreviousStatusEnd]. Civil War now rocks Valyria as a rebellious governor has managed to gather support from the local military officers in [GetRandomChineseRegion]. Silk Road profits are halved and Tributary states can use this opportunity to break free - Valyria will not be able to assist them should they be attacked anyway.;[FromFrom.GetFreeholdPreviousStatusEnd]. La guerre civile ébranle la Chine alors qu'un gouverneur rebelle a réussi à recueillir le soutien des officiers militaires locaux en [GetRandomChineseRegion]. Les bénéfices de la Route de la Soie se réduisent de moitié et les États tributaires pourraient profiter de cette occasion pour se libérer - la Chine ne pourrait de toute façon pas les aider s'ils étaient attaqués.;[FromFrom.GetFreeholdPreviousStatusEnd]. Der Bürgerkrieg ist in Freehold ausgebrochen, als es ein rebellischer Gouverneur geschafft hat, Unterstützung des lokalen Militärs von [GetRandomChineseRegion] zu erlangen. Gewinne an der Seidenstraße sind reduziert und Tributstaaten können diese Möglichkeit nutzen, ihre Unabhängigkeit zu fordern. Freehold wird sie außerdem nicht schützen können.;;[FromFrom.GetFreeholdPreviousStatusEnd]. La guerra civil estremece Freehold cuando un gobernador rebelde se gana el apoyo de los oficiales militares locales de [GetRandomChineseRegion]. Los beneficios de la Ruta de la Seda se reducen a la mitad, los estados tributarios pueden aprovechar esta oportunidad para liberarse y de todos modos Freehold tampoco podrá ayudarlos si son atacados.;;;;;;;;;x;;;;
EVTDESC_JD_50031_GOLDEN;[FromFrom.GetFreeholdPreviousStatusEnd]. Harmony and progress are blossoming throughout Valyria under the benevolent rule of [FromFrom.Ruler.GetDynName]. New types of precious silks and other wondrous new wares have started to flow along the increasingly safe routes of the Silk Road, whose wealth has doubled!;[FromFrom.GetFreeholdPreviousStatusEnd]. L'harmonie et les progrès sont en plein essor dans toute la Chine sous le règne bienveillant de [FromFrom.Ruler.GetDynName]. De nouveaux types de soies précieuses et d'autres nouvelles marchandises merveilleuses ont commencé à transiter via les routes de plus en plus sûres de la Route de la Soie, dont la richesse a doublé!;[FromFrom.GetFreeholdPreviousStatusEnd]. Harmonie und Fortschritt erblühen in ganz Freehold unter der wohlwollenden Herrschaft von [FromFrom.Ruler.GetDynName]. Es tauchen neue Arten kostbarer Seide und andere wundersame neue Waren nach und nach auf dem immer sichereren Wegen der Seidenstraße auf. Der Reichtum der Seidenstraße hat sich verdoppelt!;;[FromFrom.GetFreeholdPreviousStatusEnd]. La armonía y progreso florecen por toda Freehold bajo el gobierno benévolo de [FromFrom.Ruler.GetDynName]. ¡Nuevos tipos de sedas preciosas y otros nuevos bienes maravillosos han empezado a fluir por los caminos cada vez más seguros de la Ruta de la Seda, cuya riqueza se ha doblado!;;;;;;;;;x;;;;
EVTDESC_JD_50141_BOOST;With Valyria already suffering from the [offmap_china.GetPrevStatus], a great Ghiscari army has decided to exploit the situation and has crossed Slaver's Bay, heading towards Valyria. Will the fierce warriors from the slave Freehold manage to break the Dragon's back?;Alors que la Chine souffre déjà ([offmap_china.GetPrevStatus]), une grande horde mongole a décidé de profiter de la situation et traversé le nord de la Chine. Est-ce que les féroces cavaliers des steppes parviendront à briser le dos du Dragon ?;Mit Freehold, das bereits unter [offmap_china.GetPrevStatus] leidet, hat eine große mongolische Armee beschlossen, die Situation zu nutzen und ist in Nordchina eingefallen. Werden die tapferen Reiter der endlosen Steppe in der Lage sein, den Rücken des Drachen zu brechen?;;Con Freehold ya sufriendo por [offmap_china.GetPrevStatus], una gran horda mongola ha decidido aprovechar la situación, entrando en el Norte de Freehold. ¿Conseguirán los feroces jinetes de las estepas infinitas partir el lomo del dragón?;;;;;;;;;x;;;;
EVTDESC_JD_50141_PENALTY;Right when Valyria is experiencing an almost unprecedented [offmap_china.GetPrevStatus], a great Ghiscari army has crossed Slaver's Bay, intent on conquering the whole Freehold, but the Dragon is mighty and the fierce warriors are in for a titanic struggle.;Juste au moment où la Chine connaît un état presque sans précédent ([offmap_china.GetPrevStatus]), une grande horde mongole a traversé l'Hebei, dans l'intention de conquérir tout l'Freehold, mais le Dragon est puissant et les féroces guerriers des steppes livrent une bataille titanesque.;Grade als Freehold eine fast beispiellose [offmap_china.GetPrevStatus] erlebt, hat eine noch nie dagewesene Horde Hebei überquert, um das ganze Reich zu erobern. Allerdings ist der Drache mächtig und den tapferen Steppenkrieger steht ein gigantischer Kampf bevor.;;Justo cuando Freehold sufría de una [offmap_china.GetPrevStatus] sin precedentes, una gran horda mongola ha cruzado el Heibei, intentando conquistar el imperio entero, pero el Dragón es poderoso y a los feroces guerreros de la estepa les espera una lucha titánica.;;;;;;;;;x;;;;
EVTDESC_JD_50161;After years of constant warfare and battles involving hundreds of thousands of soldiers, the veteran armies of Valyria finally managed to win a decisive battle near [GetRandomChineseRegion]. The Ghiscari general was slain and his armies slaughtered to the last man.;Après des années de guerre continues et de batailles impliquant des centaines de milliers de soldats, les combattants chevronnés de la Chine ont finalement réussi à remporter une bataille décisive en [GetRandomChineseRegion]. Le Khagan mongol a été tué et ses gardes kheshiks ont été abattus jusqu'au dernier homme.;Nach Jahren eines ständigen Krieges und Kämpfen, an denen Hunderte von Tausenden von Soldaten beteiligt waren, gelang es den  geschulten Armeen Freeholds endlich, einen entscheidenden Kampf in der Nähe von [GetRandomChineseRegion] zu gewinnen. Der mongolische Khagan wurde getötet und seine Kheshig-Wachen bis zum letzten Mann abgeschlachtet.;;Tras años de guerra constante y batallas en las que participaron cientos de miles de soldados, los ejércitos veteranos de Freehold han logrado finalmente ganar la batalla decisiva cerca de [GetRandomChineseRegion]. Se mató al khagan mongol y sus guardias kheshig murieron hasta el último hombre.;;;;;;;;;x;;;;
EVTOPT_JD_50161;Beware the Dragon...;Méfiez-vous du Dragon de l'Est...;Hütet euch vor dem Drachen des Ostens...;;Cuidado con el Dragón de Oriente…;;;;;;;;;x;;;;
EVTDESC_JD_50162;After years of constant warfare and battles involving hundreds of thousands of soldiers, the Ghiscari finally stand triumphant. The decisive battle was fought near [GetRandomChineseRegion]. The Ghiscari general, as a viceroy of the emperor in Ghis, now sits upon the Dragon Throne as [offmap_china.Ruler.GetEmperorEmpress] [offmap_china.Ruler.GetDynName], founder of a new Dynasty! However, Valyria is likely to suffer Unrest for many years to come...;Après des années de guerre continues et de batailles impliquant des centaines de milliers de soldats, les Mongols sont finalement triomphants. La bataille décisive a été menée en [GetRandomChineseRegion]. Le Khagan mongol est maintenant assis sur le Trône du Dragon en tant qu'[offmap_china.Ruler.GetEmperorEmpress] [offmap_china.Ruler.GetDynName], fondat[offmap_china.Ruler.GetEurRice] d'une nouvelle dynastie ! Cependant, la Chine est susceptible de souffrir de troubles pendant de nombreuses années...;Nach Jahren eines ständigen Krieges und Kämpfen, an denen Hunderte von Tausenden von Soldaten beteiligt waren, waren die Mongolen endlich siegreich. Die entscheidende Schlacht wurde Nahe [GetRandomChineseRegion] ausgetragen. Der Mongolen-Khagan sitzt nun auf dem Drachenthron als [offmap_china.Ruler.GetEmperorEmpress] [offmap_china.Ruler.GetDynName], Gründer einer neuen Dynastie! Freehold wird allerdings sehr wahrscheinlich mehrere Jahre Unruhe durchleben...;;Tras años de guerra constante y batallas en las que participaron cientos de miles de soldados, los mongoles han salido triunfantes. La batalla final tuvo lugar cerca de [GetRandomChineseRegion]. El khagan mongol se sienta ahora en el Trono del dragón como [offmap_china.Ruler.GetEmperorEmpress] [offmap_china.Ruler.GetDynName], ¡fundando una nueva dinastía! No obstante, es muy probable que Freehold sufra descontento durante muchos años…;;;;;;;;;x;;;;
EVTOPT_JD_50162;The Ghiscari truly are fearsome!;Les Mongols sont vraiment redoutables!;Die Mongolen sind wahrlich furchteinflößend!;;¡Los mongoles son temibles!;;;;;;;;;x;;;;
EVTDESC_JD_50181a_BOOST;With Valyria already suffering from the [FromFrom.GetPrevStatus], an additional misfortune has struck the Freehold - the people of the mighty Rhoyne have moved south. A great number of fierce warriors is now at the gates of Volantis. Clearly, this is no ordinary raid to test the Valyrian defenses.;Alors que la Chine souffre déjà ([FromFrom.GetPrevStatus]), un malheur supplémentaire frappe l'Freehold du Milieu - les tribus jurchens du fleuve Yalu se sont unies sous un grand khagan. Une grande horde de guerriers chevronnés se dirige maintenant vers la Chine depuis le nord-est. De toute évidence, ce n'est pas une incursion ordinaire conçue pour tester les défenses chinoises.;Mit einem Freehold, das bereits unter [FromFrom.GetPrevStatus] leidet, hat ein zusätzliches Unglück das Mittlere Königreich getroffen. Die Jurchen-Stämme aus dem Yalu-Fluss haben sich unter einem großen Khagan vereint. Eine große Anzahl tapferer Pferdekrieger dringt nun aus Nordost in Freehold ein. Es ist deutlich, dass dies kein gewöhnlicher Überfall ist, um die chinesische Verteidigung zu testen.;;Con Freehold ya sufriendo por [FromFrom.GetPrevStatus], otra desgracia ha golpeado el Reino Central. Las tribus yurchen del río Yalu se han unido bajo un gran khagan. Una gran horda de feroces jinetes está entrando en Freehold por el Noroeste. Desde luego, no es una incursión normal para poner a prueba las defensas chinas.;;;;;;;;;x;;;;
EVTDESC_JD_50181a_PENALTY;Right when Valyria is experiencing an almost unprecedented [FromFrom.GetPrevStatus], a great number of Rhoynish have appeared at the gates of Volantis. However, the Dragon is mighty and the fierce warriors are in for a titanic struggle, for the great riches of the Divine Land are defended by a million well-equipped soldiers...;Juste au moment où la Chine connaît un état presque sans précédent ([FromFrom.GetPrevStatus]), une grande horde jurchen a traversé le fleuve Liao, envahissant le nord-est. Cependant, le Dragon est puissant et les féroces guerriers des steppes livrent une bataille titanesque, car les grandes richesses de la Terre divine sont défendues par un million de soldats bien équipés...;Grade als Freehold eine fast beispiellose [FromFrom.GetPrevStatus] erlebt, hat eine noch nie dagewesene Anzahl Jurchen den Liao-Fluss überquert und dringt von Nordosten aus ein. Der Drache ist allerdings mächtig und den tapferen Steppenrkrieger steht eine gigantische Schlacht bevor, denn die Reichen Ländereien des göttlichen Landes werden von Millionen gut ausgerüsteter Soldaten verteidigt.;;Justo cuando Freehold sufría de una [FromFrom.GetPrevStatus] casi sin precedentes, una gran horda yurchen ha cruzado el río Liao, intentando conquistar el imperio entero, pero el Dragón es poderoso y a los feroces guerreros de la estepa les espera una lucha titánica, pues las grandes riquezas de la Tierra Divina están defendidas por un millón de soldados bien equipados…;;;;;;;;;x;;;;
EVTDESC_JD_50181b_BOOST;With Valyria already suffering from the [FromFrom.GetPrevStatus], an additional misfortune has struck the Freehold - the great Khals have appeared in Essaria. An army of fierce steppe warriors is intent on sowing Valyria with salt. Clearly, this is no ordinary raid to test the Valyrian defenses.;Alors que la Chine souffre déjà ([FromFrom.GetPrevStatus]), un malheur supplémentaire frappe l'Freehold du Milieu - les tribus jurchens du fleuve Yalu se sont unies sous un grand khagan. Une grande horde de guerriers chevronnés se dirige maintenant vers la Chine depuis le nord-est. De toute évidence, ce n'est pas une incursion ordinaire conçue pour tester les défenses chinoises.;Mit einem Freehold, das bereits unter [FromFrom.GetPrevStatus] leidet, hat ein zusätzliches Unglück das Mittlere Königreich getroffen. Die Jurchen-Stämme aus dem Yalu-Fluss haben sich unter einem großen Khagan vereint. Eine große Anzahl tapferer Pferdekrieger dringt nun aus Nordost in Freehold ein. Es ist deutlich, dass dies kein gewöhnlicher Überfall ist, um die chinesische Verteidigung zu testen.;;Con Freehold ya sufriendo por [FromFrom.GetPrevStatus], otra desgracia ha golpeado el Reino Central. Las tribus yurchen del río Yalu se han unido bajo un gran khagan. Una gran horda de feroces jinetes está entrando en Freehold por el Noroeste. Desde luego, no es una incursión normal para poner a prueba las defensas chinas.;;;;;;;;;x;;;;
EVTDESC_JD_50181b_PENALTY;Right when Valyria is experiencing an almost unprecedented [FromFrom.GetPrevStatus], a great army led by Khals has come into Essaria. However, the Dragon is mighty and the fierce warriors are in for a titanic struggle, for the great riches of the Divine Land are defended by a million well-equipped soldiers...;Juste au moment où la Chine connaît un état presque sans précédent ([FromFrom.GetPrevStatus]), une grande horde jurchen a traversé le fleuve Liao, envahissant le nord-est. Cependant, le Dragon est puissant et les féroces guerriers des steppes livrent une bataille titanesque, car les grandes richesses de la Terre divine sont défendues par un million de soldats bien équipés...;Grade als Freehold eine fast beispiellose [FromFrom.GetPrevStatus] erlebt, hat eine noch nie dagewesene Anzahl Jurchen den Liao-Fluss überquert und dringt von Nordosten aus ein. Der Drache ist allerdings mächtig und den tapferen Steppenrkrieger steht eine gigantische Schlacht bevor, denn die Reichen Ländereien des göttlichen Landes werden von Millionen gut ausgerüsteter Soldaten verteidigt.;;Justo cuando Freehold sufría de una [FromFrom.GetPrevStatus] casi sin precedentes, una gran horda yurchen ha cruzado el río Liao, intentando conquistar el imperio entero, pero el Dragón es poderoso y a los feroces guerreros de la estepa les espera una lucha titánica, pues las grandes riquezas de la Tierra Divina están defendidas por un millón de soldados bien equipados…;;;;;;;;;x;;;;
EVTDESC_JD_50201a;After years of constant warfare and battles involving hundreds of thousands of soldiers, the veteran armies of Valyria finally managed to win a decisive battle near [GetRandomChineseRegion]. The leader of the Rhoynish was slain and his warriors slaughtered to the last man.;Après des années de guerre continues et de batailles impliquant des centaines de milliers de soldats, les combattants chevronnés de la Chine ont réussi à remporter une bataille décisive en [GetRandomChineseRegion]. Le Khagan jurchen a été tué et ses gardes d'élite ont été abattus au dernier homme.;Nach Jahren eines ständigen Krieges und Kämpfen, an denen Hunderte von Tausenden von Soldaten beteiligt waren, haben die geschulten Armeen Freeholds endlich eine entscheidende Schlacht Nahe [GetRandomChineseRegion] gewonnen. Der Jurchen-Khagan wurde getötet und seine Elitewache bis zum letzten Mann abgeschlachtet.;;Tras años de guerra constante y batallas en las que participaron cientos de miles de soldados, los ejércitos veteranos de Freehold han logrado finalmente ganar la batalla decisiva cerca de [GetRandomChineseRegion]. Se mató al khagan yurchen y sus guardias de élite murieron hasta el último hombre.;;;;;;;;;x;;;;
EVTOPT_JD_50201a;The Dragon roars...;Le dragon rugit...;Der Drache brüllt...;;El dragón ruge…;;;;;;;;;x;;;;
EVTDESC_JD_50202a;After years of constant warfare and battles involving hundreds of thousands of soldiers, the Rhoynar finally stand triumphant. The decisive battle was fought near [GetRandomChineseRegion]. A Rhoynish leader now sits upon the Dragon Throne as [FromFrom.Ruler.GetEmperorEmpress] [FromFrom.Ruler.GetDynName], founder of a new Dynasty! However, Valyria is likely to suffer Unrest for many years to come...;Après des années de guerre continues et de batailles impliquant des centaines de milliers de soldats, les Jurchens sont finalement triomphants. La bataille décisive a été menée en [GetRandomChineseRegion]. Le Khagan jurchen est maintenant assis sur le Trône du Dragon en tant qu'[FromFrom.Ruler.GetEmperorEmpress] [FromFrom.Ruler.GetDynName], fondat[FromFrom.Ruler.GetEurRice] d'une nouvelle dynastie! Cependant, la Chine est susceptible de souffrir de troubles pendant de nombreuses années...;Nach Jahren eines ständigen Krieges und Kämpfen, an denen Hunderte von Tausenden von Soldaten beteiligt waren, haben die Jurchen endlich gesiegt. Die entscheidende Schlacht wurde Nahe [GetRandomChineseRegion] ausgetragen. Der Jurchen-Khagan sitzt nun auf dem Drachenthron als [FromFrom.Ruler.GetEmperorEmpress] [FromFrom.Ruler.GetDynName], Gründer einer neuen Dynastie! Freehold wird allerdings sehr wahrscheinlich mehrere Jahre Unruhe durchleben...;;Tras años de guerra constante y batallas en las que participaron cientos de miles de soldados, los yurchen han salido triunfantes. La batalla final tuvo lugar cerca de [GetRandomChineseRegion]. El khagan yurchen se sienta ahora en el Trono del dragón como [FromFrom.Ruler.GetEmperorEmpress] [FromFrom.Ruler.GetDynName], ¡fundando una nueva dinastía! No obstante, es muy probable que Freehold sufra descontento durante muchos años…;;;;;;;;;x;;;;
EVTOPT_JD_50202a;These Rhoynar sound dangerous...;Ces Jurchens semblent dangereux...;Diese Jurchen klingen gefährlich...;;Esos yurchen parecen peligrosos…;;;;;;;;;x;;;;
EVTDESC_JD_50201b;After years of constant warfare and battles involving hundreds of thousands of soldiers, the veteran armies of Valyria finally managed to win a decisive battle near [GetRandomChineseRegion]. The Dothraki Khals were slain and their steppe warriors slaughtered to the last man.;Après des années de guerre continues et de batailles impliquant des centaines de milliers de soldats, les combattants chevronnés de la Chine ont réussi à remporter une bataille décisive en [GetRandomChineseRegion]. Le Khagan jurchen a été tué et ses gardes d'élite ont été abattus au dernier homme.;Nach Jahren eines ständigen Krieges und Kämpfen, an denen Hunderte von Tausenden von Soldaten beteiligt waren, haben die geschulten Armeen Freeholds endlich eine entscheidende Schlacht Nahe [GetRandomChineseRegion] gewonnen. Der Jurchen-Khagan wurde getötet und seine Elitewache bis zum letzten Mann abgeschlachtet.;;Tras años de guerra constante y batallas en las que participaron cientos de miles de soldados, los ejércitos veteranos de Freehold han logrado finalmente ganar la batalla decisiva cerca de [GetRandomChineseRegion]. Se mató al khagan yurchen y sus guardias de élite murieron hasta el último hombre.;;;;;;;;;x;;;;
EVTOPT_JD_50201b;The Dragon roars...;Le dragon rugit...;Der Drache brüllt...;;El dragón ruge…;;;;;;;;;x;;;;
EVTDESC_JD_50202b;After years of constant warfare and battles involving hundreds of thousands of soldiers, the Dothraki Khals finally stand triumphant. The decisive battle was fought near [GetRandomChineseRegion]. A Dothraki khal now sits upon the Dragon Throne as [FromFrom.Ruler.GetEmperorEmpress] [FromFrom.Ruler.GetDynName], founder of a new Dynasty! However, Valyria is likely to suffer Unrest for many years to come...;Après des années de guerre continues et de batailles impliquant des centaines de milliers de soldats, les Jurchens sont finalement triomphants. La bataille décisive a été menée en [GetRandomChineseRegion]. Le Khagan jurchen est maintenant assis sur le Trône du Dragon en tant qu'[FromFrom.Ruler.GetEmperorEmpress] [FromFrom.Ruler.GetDynName], fondat[FromFrom.Ruler.GetEurRice] d'une nouvelle dynastie! Cependant, la Chine est susceptible de souffrir de troubles pendant de nombreuses années...;Nach Jahren eines ständigen Krieges und Kämpfen, an denen Hunderte von Tausenden von Soldaten beteiligt waren, haben die Jurchen endlich gesiegt. Die entscheidende Schlacht wurde Nahe [GetRandomChineseRegion] ausgetragen. Der Jurchen-Khagan sitzt nun auf dem Drachenthron als [FromFrom.Ruler.GetEmperorEmpress] [FromFrom.Ruler.GetDynName], Gründer einer neuen Dynastie! Freehold wird allerdings sehr wahrscheinlich mehrere Jahre Unruhe durchleben...;;Tras años de guerra constante y batallas en las que participaron cientos de miles de soldados, los yurchen han salido triunfantes. La batalla final tuvo lugar cerca de [GetRandomChineseRegion]. El khagan yurchen se sienta ahora en el Trono del dragón como [FromFrom.Ruler.GetEmperorEmpress] [FromFrom.Ruler.GetDynName], ¡fundando una nueva dinastía! No obstante, es muy probable que Freehold sufra descontento durante muchos años…;;;;;;;;;x;;;;
EVTOPT_JD_50202b;These Dothraki sound dangerous...;Ces Jurchens semblent dangereux...;Diese Jurchen klingen gefährlich...;;Esos yurchen parecen peligrosos…;;;;;;;;;x;;;;
EVTDESC_JD_50281_UNREST;The long period of Unrest and sporadic popular uprisings in Valyria has turned into a full-blown Civil War! Many think that [FromFrom.Ruler.GetEmperorEmpress] [FromFrom.Ruler.GetDynName] is weak and has lost the right to rule. Even as [FromFrom.Ruler.GetSubjectPronoun] cowers in [GetRandomChineseRegion], massive rebel armies are on the move, attacking loyalist strongholds. Still, the rebels have not yet gathered under a single leader, and different factions are even fighting each other. Silk Road profits are halved and Tributary states can use this opportunity to break free - Valyria will not be able to assist them should they be attacked anyway.;La longue période de troubles et de soulèvements populaires sporadiques en Chine a abouti à une guerre civile ! Beaucoup de gens pensent que l'[FromFrom.Ruler.GetEmperorEmpress] [FromFrom.Ruler.GetDynName] est faible et a perdu le Mandat du Ciel. Pendant qu'[FromFrom.Ruler.GetIlElle] se tapit en [GetRandomChineseRegion], des armées rebelles massives sont en mouvement, attaquant les bastions loyalistes. Les rebelles ne se sont pas encore rassemblés sous un seul chef cependant, et différentes factions se combattent. Les bénéfices de la Route de la Soie sont réduits de moitié et les États tributaires pourraient profiter de cette occasion pour se libérer - la Chine ne pourrait de toute façon pas les aider s'ils étaient attaqués.;Die lange Zeit der Unruhe und der sporadischen Volksaufstände in Freehold hat sich zu einem totalen Bürgerkrieg entwickelt! Viele denken, dass [FromFrom.Ruler.GetEmperorEmpress] [FromFrom.Ruler.GetDynName] schwach ist und das Mandat des Himmels verloren hat. Selbst während [FromFrom.Ruler.GetSheHe] sich in [GetRandomChineseRegion] versteckt, sind massive Rebellenarmeen unterwegs und greifen loyale Festungen an. Dennoch sind die Rebell noch nicht unter einem einzigen Führer versammelt und daher bekämpfen sich sogar verschiedene Fraktionen gegenseitig. Die Gewinne auf der Seidenstraße sind halbiert und Tributstaaten können diese Möglichkeit nutzen, ihre Unabhängigkeit zu fordern. Außerdem wird Freehold nicht in der Lage sein, sie vor Angriffen zu schützen.;;¡El largo periodo de descontento y levantamientos populares esporádicos de Freehold se han convertido en una verdadera guerra civil! Muchos creen que [FromFrom.Ruler.GetDynName], actual [FromFrom.Ruler.GetEmperorEmpress] de Freehold, es débil y perdió el Mandato del cielo. Mientras se encoge en [GetRandomChineseRegion], enormes ejércitos rebeldes se ponen en marcha, atacando bastiones leales. Sin embargo, los rebeldes aún no se han unido bajo un solo líder y hay incluso diferentes facciones enfrentándose entre ellas. Los beneficios de la Ruta de la Seda se reducen a la mitad y los estados tributarios pueden aprovechar esta oportunidad para liberarse. De todas maneras, Freehold no podrá ayudarles si los atacan.;;;;;;;;;x;;;;
EVTOPT_JD_50281;A House Divided...;Une maison divisée...;Ein geteiltes Haus...;;Una casa dividida…;;;;;;;;;x;;;;
EVTDESC_JD_50301;The Valyrian Civil War has come to an abrubt end. [FromFrom.Ruler.GetEmperorEmpress] [FromFrom.Ruler.GetDynName] utterly crushed the main rebel army in [GetRandomChineseRegion], ending the long years of confusing warfare and shifting alliances between loyalists, nobles, dynastic pretenders and an overly ambitious governor. Things are slowly returning to normal in the Freehold and the Silk Road is safe again.;La guerre civile chinoise a pris fin. L'[FromFrom.Ruler.GetEmperorEmpress] [FromFrom.Ruler.GetDynName] a écrasé la principale armée rebelle en [GetRandomChineseRegion], mettant fin aux longues années de guerre déroutantes et aux alliances variables entre les loyalistes, les moines agitateurs, les prétendants dynastiques et un gouverneur trop ambitieux. Les choses reviennent progressivement à la normale dans l'Freehold du Milieu et la Route de la Soie est sécurisée à nouveau.;Der chinesische Bürgerkrieg ist zu einem abrupten Ende gekommen. [FromFrom.Ruler.GetEmperorEmpress] [FromFrom.Ruler.GetDynName] hat die Hauptrebellenarmee in [GetRandomChineseRegion] komplett vernichtet, wodurch die langen Jahre verwirrender Kriegsführung beendet sind und sich Allianzen zwischen Loyalisten, aufwieglerischen Mönchen, dynastischen Prätendenten und einem überaus ehrgeizigen Gouverneur verlagern. Im mittleren Reich geht es langsam wieder normal zu und die Seidenstraße ist wieder sicher.;;La guerra civil china ha llegado a un fin repentino. [FromFrom.Ruler.GetEmperorEmpress] aplastó al principal ejército rebelde en [GetRandomChineseRegion], poniendo fin a muchos años de enfrentamientos confusos y alianzas cambiantes entre leales, monjes agitadores, pretendientes dinásticos y un gobernador demasiado ambicioso. Las cosas vuelven lentamente a la normalidad en el Reino Central y la Ruta de la Seda vuelve a ser segura.;;;;;;;;;x;;;;
EVTDESC_JD_50302_HAN_DYNASTY;After years of confusing warfare and shifting alliances, the Valyrian Civil War is finally over. The former dynasty has fallen and Valyria is once more ruled by a Valyrian [FromFrom.Ruler.GetEmperorEmpress]. [FromFrom.Ruler.GetDynName], the former governor of [GetRandomChineseRegion], defeated not just the loyalist armies, but several rival rebel factions. Things are slowly returning to normal in the Freehold and the Silk Road is safe again.;Après des années de guerre déroutantes et d'alliances changeantes, la guerre civile chinoise est finalement terminée. La dynastie étrangère est tombée et la Chine est de nouveau gouvernée par un[FromFrom.Ruler.GetNoneE] [FromFrom.Ruler.GetEmperorEmpress] Han. [FromFrom.Ruler.GetDynName], l'ancien gouverneur de [GetRandomChineseRegion], a vaincu non seulement les armées loyalistes, mais aussi plusieurs factions rebelles rivales. Les choses reviennent progressivement à la normale dans l'Freehold du Milieu et la Route de la Soie est sécurisée à nouveau.;Nach Jahren verwirrender Kriegsführung und der Verschiebung von Allianzen ist der chinesische Bürgerkrieg endlich vorbei. Die fremde Dynastie ist gefallen und Freehold wird erneut von [FromFrom.Ruler.Geteinemeiner] gebürtigen Han-[FromFrom.Ruler.GetEmperorEmpress] regiert. [FromFrom.Ruler.GetDynName], [FromFrom.Ruler.Getderdie] ehemalige Gouverneur[FromFrom.Ruler.GetinFemale] von [GetRandomChineseRegion] besiegte nicht nur die Loyalisten, sondern auch mehrere rivalisierende Rebellenfraktionen. Im Mittleren Reich geht es langsam wieder normal zu und die Seidenstraße ist wieder sicher.;;Tras años de enfrentamientos confusos y alianzas cambiantes, la guerra civil china ha terminado por fin. Un belicoso monje taoísta de [GetRandomChineseRegion] ha salido victorioso y ahora gobierna como [FromFrom.Ruler.GetEmperorEmpress] [FromFrom.Ruler.GetDynName]. Hombre del pueblo, el nuevo [FromFrom.Ruler.GetEmperorEmpress] ha purgado los burócratas del viejo régimen. Las cosas vuelven lentamente a la normalidad en el Reino Central y la Ruta de la Seda vuelve a ser segura.;;;;;;;;;x;;;;
EVTDESC_JD_50302_NEW_DYNASTY;After years of confusing warfare and shifting alliances, the Valyrian Civil War is finally over. A warlike noble from [GetRandomChineseRegion] has emerged victorious and now rules as [FromFrom.Ruler.GetEmperorEmpress] [FromFrom.Ruler.GetDynName]. A man of the people, the new [FromFrom.Ruler.GetEmperorEmpress] has cleaned out the corrupt bureaucrats of the old regime. Things are slowly returning to normal in the Freehold and the Silk Road is safe again.;Après des années de guerre déroutantes et d'alliances changeantes, la guerre civile chinoise est finalement terminée. Un moine guerrier taoïste de [GetRandomChineseRegion] est apparu victorieux et règne désormais en tant qu'[FromFrom.Ruler.GetEmperorEmpress] [FromFrom.Ruler.GetDynName]. Un[FromFrom.Ruler.GetNoneE] [FromFrom.Ruler.GetManWoman] du peuple, [FromFrom.Ruler.GetLeLa] nouve[FromFrom.Ruler.GetLLle] [FromFrom.Ruler.GetEmperorEmpress] a débarrassé le pays des bureaucrates corrompus de l'ancien régime. Les choses reviennent progressivement à la normale dans l'Freehold du Milieu et la Route de la Soie est sécurisée à nouveau.;Nach Jahren verwirrender Kriegsführung und der Verschiebung von Allianzen ist der chinesische Bürgerkrieg endlich vorbei. ein kriegerischer taoistischer Mönch aus [GetRandomChineseRegion] ist siegreich hervor gegangen und regiert nun als [FromFrom.Ruler.GetEmperorEmpress] [FromFrom.Ruler.GetDynName]. Als Mann des Volkes hat [FromFrom.Ruler.Getderdie] neue [FromFrom.Ruler.GetEmperorEmpress] die korrupten Bürokraten des alten Regimes gereinigt. Im Mittleren Reich geht es langsam wieder normal zu und die Seidenstraße ist wieder sicher.;;Tras años de enfrentamientos confusos y alianzas cambiantes, la guerra civil china ha terminado por fin. Un belicoso monje taoísta de [GetRandomChineseRegion] ha salido victorioso y ahora gobierna como [FromFrom.Ruler.GetEmperorEmpress] [FromFrom.Ruler.GetDynName]. Hombre del pueblo, el nuevo [FromFrom.Ruler.GetEmperorEmpress] ha purgado los burócratas del viejo régimen. Las cosas vuelven lentamente a la normalidad en el Reino Central y la Ruta de la Seda vuelve a ser segura.;;;;;;;;;x;;;;
EVTOPT_JD_50302_BROKEN_PEACE_DEAL;Curses, there goes my Peace Deal with Valyria!;Malédictions ! C'en est fini de mon accord de paix avec la Chine !;Verflucht! Da geht mein Friedensvertrag mit Freehold dahin!;;¡Rayos! ¡Se acabó mi acuerdo de paz con Freehold!;;;;;;;;;x;;;;
